[25091.5621407032, 24706.80265316367, 24209.06990751624, 22998.686690717936, 23343.532091468573, 23442.54967817664, 23233.1848603189, 23277.927764087915, 24016.577058255672, 25064.875776410103, 25047.79635876417, 23773.25368013978, 22851.244869053364, 20745.576783418655, 20236.814892739058, 19075.759799063206, 20031.334570348263, 17807.388419806957, 17633.665161907673, 18269.97479006648, 20340.942686885595]
[25243.273244053125, 25393.16617628932, 25284.593847364187, 24665.354807019234, 24297.75393587351, 24339.939904987812, 24582.81280681491, 24605.17613235116, 24760.75159484148, 25644.680696040392, 26220.136512190104, 25188.121510505676, 23184.892374694347, 21336.352872610092, 20677.597431391478, 19737.474346399307, 19100.448124587536, 18991.45429971814, 19584.04332369566, 21309.91816458106, 18553.39660874009]
[26386.745546400547, 26254.674209058285, 26877.205858379602, 25658.88040354848, 24747.11883288622, 25380.83684194088, 24550.942039489746, 24998.01018190384, 25724.799239471555, 26605.52191823721, 27226.262373775244, 26240.048524588346, 23524.028599381447, 22666.929353028536, 21585.33274242282, 20371.107396513224, 20148.490278720856, 20838.671178996563, 24084.21118953824, 19126.739263772964, 17498.661115050316]
[26913.524229198694, 26921.735730439425, 27100.46371296048, 26533.43712192774, 26232.699973881245, 25916.605335623026, 25755.494313120842, 25895.20510351658, 26720.659318566322, 27698.43945017457, 27969.388701677322, 26433.255541861057, 24749.156198471785, 23279.89074009657, 21860.51176676154, 22075.457878381014, 23348.362820088863, 26602.82709030807, 19778.355589210987, 18759.446231216192, 17966.456127136946]
[29385.19862934947, 28141.88165012002, 27692.00071004033, 27370.627247095108, 29329.556340694427, 28701.372495740652, 26300.320718854666, 26840.286731898785, 27705.25523146987, 29343.901819974184, 29097.886815726757, 27691.923281252384, 25852.232211738825, 24032.41785350442, 23173.683885723352, 23460.815515071154, 28875.572917088866, 21694.43446496129, 20050.940558955073, 18784.854013472795, 18923.304415404797]
[29731.617704331875, 29081.0058272779, 28591.632154852152, 28502.057594418526, 28366.465579509735, 30366.75693720579, 28520.508350223303, 27682.746959879994, 28925.293461114168, 28963.54882889986, 29866.722643494606, 28234.33536222577, 27269.802418023348, 25398.071471750736, 27787.62386983633, 31675.03544563055, 25306.50307583809, 20975.859776467085, 20596.615079075098, 20628.744760155678, 18886.138118624687]
[31359.750762611628, 30206.843753039837, 30426.302768945694, 29842.46735715866, 29613.484008729458, 30803.539157241583, 33507.73462945223, 31401.587825626135, 30381.932750701904, 31415.287867844105, 31970.66047039628, 30891.91805830598, 28245.03693345189, 29566.230717033148, 34714.46727877855, 27050.777911126614, 23167.70741945505, 21968.911836504936, 21434.098304897547, 20254.529323756695, 20479.904113709927]
[33498.42083963752, 33020.878503382206, 33122.2232966125, 32160.316960573196, 31371.956035107374, 31360.30473253131, 32207.0462012887, 37012.18625536561, 34404.26241603494, 33888.7269436121, 36026.766706228256, 33301.06553158164, 36361.87873893976, 40169.02858042717, 30942.285056322813, 25515.422142207623, 24163.374527424574, 23595.96799007058, 22656.358349978924, 21566.100971370935, 20843.53310675919]
[36204.11667497456, 35130.13850069046, 35001.72939667106, 34620.207963615656, 34411.95427566767, 33501.484651863575, 33839.77968673408, 36589.901568204165, 44014.93597397208, 42223.3927846849, 42982.87721037865, 43649.6495590508, 46246.87845927477, 35635.79155001044, 29519.1351377666, 27045.80907189846, 25833.81677621603, 24714.325934112072, 23959.529114693403, 23103.310128062963, 22246.497440844774]
[40693.498475432396, 39090.06809991598, 38073.43484094739, 37868.2352450192, 36872.054963976145, 36180.47342479229, 36639.129302471876, 38218.893423229456, 43825.54355865717, 53460.22764098644, 59612.58898279071, 59618.125791847706, 44209.84019076824, 33982.121561676264, 30061.19739380479, 28227.32983753085, 27705.01185786724, 27097.355822712183, 26704.654056489468, 24898.88692471385, 24008.828536003828]
[43325.64252445102, 43346.76630440354, 41930.23365539312, 41871.61603653431, 41101.34836137295, 40087.75397101045, 39791.82502281666, 42280.945565372705, 48711.08853802085, 62923.03556138277, 240177.79992604256, 58362.57750591636, 42390.58547785878, 35927.724234998226, 32929.798770695925, 30500.956595420837, 29424.422649502754, 27931.50858604908, 27345.0126953274, 26325.454352080822, 25259.315533429384]
[43799.06306654215, 43068.25030642748, 41584.24682739377, 41222.03871276975, 39917.26354703307, 38460.659369915724, 39574.08277839422, 40356.79824760556, 51304.98074308038, 64264.653763473034, 61725.05762887001, 53009.65606614947, 41556.30674678087, 33844.40908560157, 31279.870161652565, 29219.252662166953, 28830.26499429345, 27381.29477456212, 26713.037322342396, 25493.066170066595, 24481.924498692155]
[42354.49911415577, 41474.18525236845, 41608.12528412044, 39779.42321181297, 39801.75553843379, 38608.04659149051, 39185.80056852102, 44426.111187785864, 53427.65558041632, 50652.25031495094, 47568.4928855598, 44742.544412091374, 43302.81723085046, 34402.115682184696, 30774.29871082306, 29620.323343873024, 28273.053600549698, 26546.632534503937, 25162.415234595537, 24630.79522997141, 24256.6660245955]
[43100.72227862477, 41120.96456414461, 40386.01755926013, 39674.051233798265, 38764.44431120157, 37924.93648916483, 41532.185319811106, 48147.412473231554, 45396.73927488923, 40675.58498215675, 42320.63580977917, 38066.25283589959, 37186.35647162795, 36712.751813560724, 31001.020697325468, 28173.850707650185, 26520.591121912003, 26213.744235157967, 25508.23677253723, 24694.284881532192, 23168.64163786173]
